coin_id,weighted_avg_score,top_wallet_balance,top_wallet_count,total_balance,total_wallets,mean_score,score_std,score_count,top_wallet_balance_pct,top_wallet_count_pct,composite_score,avg_wallet_balance,score_confidence,market_cap,market_cap_filled,coin_return
5ca50871-f4ef-429a-88b6-c524e0bde5fb,0.07367404100626049,0.0,0,251058.97,10,0.08689090070080782,0.14154772153064651,10,0.0,0.0,0.029469616402504197,25105.896875,0.6984886554222364,1368365,1368365,0.081293106
60271d3e-3b65-46ed-b185-739edb4ff38b,0.0,0.0,0,103871.97,7,0.0,0.0,7,0.0,0.0,0.0,14838.85267857143,0.6464466094067263,1645101,1645101,0.06709075
6267c4b3-4f70-45b9-8574-9028d53775ee,0.0,0.0,0,35659.324,6,0.0,0.0,6,0.0,0.0,0.0,5943.220703125,0.6220355269907728,2186059,2186059,0.08702767
673cc863-2517-417f-8fc1-e96f9a0f10c4,0.0,0.0,0,33221.996,6,0.0,0.0,6,0.0,0.0,0.0,5536.999348958333,0.6220355269907728,1074139,1074139,0.0008829832
67d3acc7-56f4-4ce5-8db1-cf6c9e8cd994,0.14110963621778377,22675.54,1,95429.86,11,0.05994561871160395,0.1399277419760963,11,0.23761472,0.09090909090909091,0.1550010025481289,8675.441761363636,0.7113248654051871,1219473,1219473,0.0048662424
68e0f235-e532-4258-bdb6-6281b8ffbf41,0.06433008180661905,23493.121,2,148540.38,6,0.1344809659564052,0.2087566022211158,6,0.15815984,0.3333333333333333,0.17317998609584134,24756.729166666668,0.6220355269907728,2347920,2347920,0.38693845
6a2630b1-c913-4290-81fc-4a5aa69d02c1,0.0,0.0,0,88303.96,7,0.0,0.0,7,0.0,0.0,0.0,12614.8515625,0.6464466094067263,2034304,2034304,0.4255929
6ceefb20-5c0c-4a75-8845-9c9b154a52e2,0.0,0.0,0,198139.83,12,0.0,0.0,12,0.0,0.0,0.0,16511.65234375,0.7226499018873854,2257766,2257766,0.44728506
6d8d10be-c3d5-4581-9e7a-58f250de5eb6,0.049749582174338024,0.0,0,20544.473,5,0.06957413952342004,0.15557250545042203,5,0.0,0.0,0.01989983286973521,4108.89453125,0.5917517095361369,1277073,1277073,0.2001158
6e0aa0d7-093c-4e01-beb1-faa6351a1136,0.07835609560987629,10913.82,1,57741.043,6,0.06909225886695132,0.16924077940031734,6,0.18901321,0.16666666666666666,0.13804640435489526,9623.507161458334,0.6220355269907728,2985079,2985079,1.3712692
6ebfe4ba-bd62-4001-876d-7aa14c478f19,0.007534440895270093,1876.9084,2,100283.266,14,0.05684004297047054,0.1444972112918506,14,0.018716069,0.14285714285714285,0.05148574008302776,7163.090401785715,0.7418011102528389,1562613,1562613,0.017815351
703db730-eb6a-4832-9951-fcb78ab442c7,0.3004029092083435,41336.48,1,165090.33,8,0.1302059070671544,0.17986611910305578,8,0.25038704,0.125,0.2327772765115921,20636.291015625,0.6666666666666667,1796213,1796213,-0.031826496
7307eae3-529f-4c14-98c9-577e468c898d,0.0,0.0,0,467903.22,10,0.0,0.0,10,0.0,0.0,0.0,46790.321875,0.6984886554222364,4492327,4492327,0.022231936
74bf1e60-cd90-4f16-9e0c-1c6aeaf1f74e,0.005286827362869425,0.0,0,59754.875,7,0.03464294161221545,0.0916566081896531,7,0.0,0.0,0.00211473094514777,8536.410714285714,0.6464466094067263,2462891,2462891,0.33269405
75489501-603d-4fa0-9619-d14238f1ce5f,0.12946816003460201,30913.627,1,109401.44,5,0.0916359820201149,0.20490428498192542,5,0.28257057,0.2,0.19655843522603716,21880.2875,0.5917517095361369,3464281,3464281,0.44907224
75c43ccf-5326-4b5f-a23d-5e00264e18d3,0.02107950756653102,0.0,0,409459.5,6,0.03963907984755038,0.09709551949993804,6,0.0,0.0,0.008431803026612408,68243.25,0.6220355269907728,4633721,4633721,0.26720345
76c2afa3-28f5-4722-ad47-55221bb02094,0.03955131030387705,2249.4736,1,22122.82,6,0.06482898326475103,0.15879792954206998,6,0.10168114,0.16666666666666666,0.09632486815276553,3687.13671875,0.6220355269907728,4625778,4625778,0.09652233
7a694977-b5e7-4424-82e6-e9a60d9d6d92,0.028768997713852648,5358.804,1,68622.69,6,0.06140069893745265,0.15040038224700825,6,0.078090854,0.16666666666666666,0.08493485639986544,11437.114583333334,0.6220355269907728,2447921,2447921,0.046920776
7adaac4d-74bb-48ac-b908-0c746bd0b5da,0.009351312961486048,0.0,0,106054.73,9,0.033479938051309284,0.10043981415392784,9,0.0,0.0,0.0037405251845944194,11783.858506944445,0.683772233983162,3344845,3344845,-0.026768267
7b49a64e-1e99-4958-bc2b-fdba3f22d309,0.23298617923266368,52131.277,1,91578.625,6,0.06821417974420983,0.16708993359581,6,0.5692516,0.16666666666666666,0.31396995971205505,15263.104166666666,0.6220355269907728,2332699,2332699,-0.26907778
7c795271-a4f8-49ba-9ded-fe2874bef9fe,0.04348987095848033,0.0,0,91413.19,7,0.043916526611985765,0.11619220786106432,7,0.0,0.0,0.017395948383392132,13059.026785714286,0.6464466094067263,998755,998755,0.09515643
7e95ef5a-ce07-4da9-bf6e-e6c4ca89bd12,3.9929545238671543e-07,0.0,0,126482.61,6,0.057978449602850035,0.1420176176046526,6,0.0,0.0,1.597181809546862e-07,21080.434895833332,0.6220355269907728,2383689,2383689,0.07641065
7f7905ad-bf2a-476f-83d7-79f1c0bc5b7d,0.0,0.0,0,1434735.5,8,0.0,0.0,8,0.0,0.0,0.0,179341.9375,0.6666666666666667,4600844,4600844,0.09818709
